source_file,line_number,finding_type,context,function_name,target_context,feature_context,future_or_forward,negative_shift,centered_rolling,classification
data\dataset_builder.py,2073,FUTURE_OR_FORWARD,"""future_features_used"": False,",_build_statistics,False,True,True,False,False,FEATURE_FUTURE_OPERATION
data\dataset_builder.py,2100,FUTURE_OR_FORWARD,"tomorrow_morning_start_hour: int = 8,",build_ml_dataset,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,2101,FUTURE_OR_FORWARD,"tomorrow_morning_start_minute: int = 0,",build_ml_dataset,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,2102,FUTURE_OR_FORWARD,"tomorrow_morning_end_hour: int = 10,",build_ml_dataset,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,2103,FUTURE_OR_FORWARD,"tomorrow_morning_end_minute: int = 0,",build_ml_dataset,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,2111,FUTURE_OR_FORWARD,tomorrow_morning_start_hour=(,build_ml_dataset,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,2112,FUTURE_OR_FORWARD,tomorrow_morning_start_hour,build_ml_dataset,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,2114,FUTURE_OR_FORWARD,tomorrow_morning_start_minute=(,build_ml_dataset,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,2115,FUTURE_OR_FORWARD,tomorrow_morning_start_minute,build_ml_dataset,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,2117,FUTURE_OR_FORWARD,tomorrow_morning_end_hour=(,build_ml_dataset,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,2118,FUTURE_OR_FORWARD,tomorrow_morning_end_hour,build_ml_dataset,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,2120,FUTURE_OR_FORWARD,tomorrow_morning_end_minute=(,build_ml_dataset,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,2121,FUTURE_OR_FORWARD,tomorrow_morning_end_minute,build_ml_dataset,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,2142,FUTURE_OR_FORWARD,"tomorrow_morning_start_hour: int = 8,",build_birmingham_ml_dataset,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,2143,FUTURE_OR_FORWARD,"tomorrow_morning_start_minute: int = 0,",build_birmingham_ml_dataset,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,2144,FUTURE_OR_FORWARD,"tomorrow_morning_end_hour: int = 10,",build_birmingham_ml_dataset,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,2145,FUTURE_OR_FORWARD,"tomorrow_morning_end_minute: int = 0,",build_birmingham_ml_dataset,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,2174,FUTURE_OR_FORWARD,tomorrow_morning_start_hour=(,build_birmingham_ml_dataset,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,2175,FUTURE_OR_FORWARD,tomorrow_morning_start_hour,build_birmingham_ml_dataset,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,2177,FUTURE_OR_FORWARD,tomorrow_morning_start_minute=(,build_birmingham_ml_dataset,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,2178,FUTURE_OR_FORWARD,tomorrow_morning_start_minute,build_birmingham_ml_dataset,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,2180,FUTURE_OR_FORWARD,tomorrow_morning_end_hour=(,build_birmingham_ml_dataset,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,2181,FUTURE_OR_FORWARD,tomorrow_morning_end_hour,build_birmingham_ml_dataset,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,2183,FUTURE_OR_FORWARD,tomorrow_morning_end_minute=(,build_birmingham_ml_dataset,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,2184,FUTURE_OR_FORWARD,tomorrow_morning_end_minute,build_birmingham_ml_dataset,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\loaders.py,86,FUTURE_OR_FORWARD,- forecasting,,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\temporal.py,16,FUTURE_OR_FORWARD,- forward-fill values,,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\temporal.py,530,DIFF,.diff(),_audit_facility,False,False,False,False,False,TEMPORAL_OPERATION
data\temporal.py,618,SHIFT,previous = timestamps.shift(1),_build_interval_frame,False,False,False,False,False,TEMPORAL_OPERATION
data\temporal.py,987,DIFF,.diff(),_facility_interval_values,False,False,False,False,False,TEMPORAL_OPERATION
data\temporal_normalizer.py,47,FUTURE_OR_FORWARD,4. Never forward-fill or backward-fill observations.,,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\temporal_normalizer.py,542,FUTURE_OR_FORWARD,This class never forward-fills occupancy.,,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\temporal_normalizer.py,660,FUTURE_OR_FORWARD,"""forward_fill_used"": False,",normalize,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\temporal_normalizer.py,1408,SHIFT,timestamps.shift(1),_assign_gap_status,False,False,False,False,False,TEMPORAL_OPERATION
data\temporal_normalizer.py,1415,SHIFT,.shift(1),_assign_gap_status,False,False,False,False,False,TEMPORAL_OPERATION
data\temporal_normalizer.py,1738,SHIFT,current_status.shift(1),_assign_sequence_boundaries,False,False,False,False,False,TEMPORAL_OPERATION
data\temporal_normalizer.py,2045,FUTURE_OR_FORWARD,"""forward_fill_used"": False,",_build_overall_statistics,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\transformers.py,47,FUTURE_OR_FORWARD,FORECASTING,,False,False,True,False,False,FUTURE_OPERATION_REVIEW
features\calendar_features.py,5,FUTURE_OR_FORWARD,Calendar-based feature engineering for parking demand forecasting.,,False,True,True,False,False,FEATURE_FUTURE_OPERATION
features\calendar_features.py,1163,FUTURE_OR_FORWARD,"""future_data_used"":",transform,False,False,True,False,False,FUTURE_OPERATION_REVIEW
features\calendar_features.py,1320,FUTURE_OR_FORWARD,"""future_data_used"":",leakage_metadata,False,False,True,False,False,FUTURE_OPERATION_REVIEW
features\calendar_features.py,1341,FUTURE_OR_FORWARD,"""forward_lookup_used"":",leakage_metadata,False,False,True,False,False,FUTURE_OPERATION_REVIEW
features\calendar_features.py,1715,FUTURE_OR_FORWARD,"""future_data_used"":",validate_calendar_features,False,True,True,False,False,FEATURE_FUTURE_OPERATION
features\calendar_features.py,1736,FUTURE_OR_FORWARD,"""forward_lookup_used"":",validate_calendar_features,False,True,True,False,False,FEATURE_FUTURE_OPERATION
features\demand_features.py,5,FUTURE_OR_FORWARD,Demand-oriented feature engineering for parking forecasting.,,False,True,True,False,False,FEATURE_FUTURE_OPERATION
features\demand_features.py,17,FUTURE_OR_FORWARD,- forward lookups,,False,False,True,False,False,FUTURE_OPERATION_REVIEW
features\demand_features.py,1360,FUTURE_OR_FORWARD,"""future_data_used"":",transform,False,False,True,False,False,FUTURE_OPERATION_REVIEW
features\demand_features.py,1372,FUTURE_OR_FORWARD,"""forward_lookup_used"":",transform,False,False,True,False,False,FUTURE_OPERATION_REVIEW
features\demand_features.py,1846,FUTURE_OR_FORWARD,"""future_data_used"": False,",validate_demand_features,False,True,True,False,False,FEATURE_FUTURE_OPERATION
features\demand_features.py,1850,FUTURE_OR_FORWARD,"""forward_lookup_used"": False,",validate_demand_features,False,True,True,False,False,FEATURE_FUTURE_OPERATION
features\demand_features.py,2392,FUTURE_OR_FORWARD,"""future_data_used"":",validate_demand_features,False,True,True,False,False,FEATURE_FUTURE_OPERATION
features\demand_features.py,2404,FUTURE_OR_FORWARD,"""forward_lookup_used"":",validate_demand_features,False,True,True,False,False,FEATURE_FUTURE_OPERATION
features\feature_pipeline.py,51,FUTURE_OR_FORWARD,future_data_used       == False,,False,False,True,False,False,FUTURE_OPERATION_REVIEW
features\feature_pipeline.py,54,FUTURE_OR_FORWARD,forward_lookup_used    == False,,False,False,True,False,False,FUTURE_OPERATION_REVIEW
features\feature_pipeline.py,128,ROLLING,from app.ml.features.rolling_features import (,,False,True,False,False,False,TEMPORAL_OPERATION
features\feature_pipeline.py,787,ROLLING,config.rolling_config,transform,False,False,False,False,False,TEMPORAL_OPERATION
features\feature_pipeline.py,1141,FUTURE_OR_FORWARD,"""future_data_used"":",transform,False,False,True,False,False,FUTURE_OPERATION_REVIEW
features\feature_pipeline.py,1150,FUTURE_OR_FORWARD,"""forward_lookup_used"":",transform,False,False,True,False,False,FUTURE_OPERATION_REVIEW
features\feature_pipeline.py,1217,FUTURE_OR_FORWARD,"""future_data_used"":",transform,False,False,True,False,False,FUTURE_OPERATION_REVIEW
features\feature_pipeline.py,1218,FUTURE_OR_FORWARD,"metadata[""future_data_used""],",transform,False,False,True,False,False,FUTURE_OPERATION_REVIEW
features\feature_pipeline.py,1223,FUTURE_OR_FORWARD,"""forward_lookup_used"":",transform,False,False,True,False,False,FUTURE_OPERATION_REVIEW
features\feature_pipeline.py,1224,FUTURE_OR_FORWARD,"metadata[""forward_lookup_used""],",transform,False,False,True,False,False,FUTURE_OPERATION_REVIEW
features\feature_pipeline.py,1472,ROLLING,result.rolling_result,transform_birmingham,False,False,False,False,False,TEMPORAL_OPERATION
features\feature_pipeline.py,1681,FUTURE_OR_FORWARD,"""future_data_used"",",_validate_family_result,False,False,True,False,False,FUTURE_OPERATION_REVIEW
features\feature_pipeline.py,1684,FUTURE_OR_FORWARD,"""forward_lookup_used"",",_validate_family_result,False,False,True,False,False,FUTURE_OPERATION_REVIEW
features\feature_pipeline.py,1721,FUTURE_OR_FORWARD,"""future_data_used"",",_validate_pipeline_leakage,False,False,True,False,False,FUTURE_OPERATION_REVIEW
features\feature_pipeline.py,1724,FUTURE_OR_FORWARD,"""forward_lookup_used"",",_validate_pipeline_leakage,False,False,True,False,False,FUTURE_OPERATION_REVIEW
features\feature_pipeline.py,2063,FUTURE_OR_FORWARD,"""future_data_used"": False,",validate_feature_pipeline,False,True,True,False,False,FEATURE_FUTURE_OPERATION
features\feature_pipeline.py,2066,FUTURE_OR_FORWARD,"""forward_lookup_used"": False,",validate_feature_pipeline,False,True,True,False,False,FEATURE_FUTURE_OPERATION
features\feature_pipeline.py,2277,FUTURE_OR_FORWARD,future_data_used = bool(,validate_feature_pipeline,False,True,True,False,False,FEATURE_FUTURE_OPERATION
features\feature_pipeline.py,2279,FUTURE_OR_FORWARD,"""future_data_used"",",validate_feature_pipeline,False,True,True,False,False,FEATURE_FUTURE_OPERATION
features\feature_pipeline.py,2298,FUTURE_OR_FORWARD,forward_lookup_used = bool(,validate_feature_pipeline,False,True,True,False,False,FEATURE_FUTURE_OPERATION
features\feature_pipeline.py,2300,FUTURE_OR_FORWARD,"""forward_lookup_used"",",validate_feature_pipeline,False,True,True,False,False,FEATURE_FUTURE_OPERATION
features\feature_pipeline.py,2312,FUTURE_OR_FORWARD,if future_data_used:,validate_feature_pipeline,False,True,True,False,False,FEATURE_FUTURE_OPERATION
features\feature_pipeline.py,2333,FUTURE_OR_FORWARD,if forward_lookup_used:,validate_feature_pipeline,False,True,True,False,False,FEATURE_FUTURE_OPERATION
features\feature_pipeline.py,2336,FUTURE_OR_FORWARD,"""Pipeline metadata indicates forward """,validate_feature_pipeline,False,True,True,False,False,FEATURE_FUTURE_OPERATION
features\feature_pipeline.py,2398,FUTURE_OR_FORWARD,"""future_data_used"":",validate_feature_pipeline,False,True,True,False,False,FEATURE_FUTURE_OPERATION
features\feature_pipeline.py,2399,FUTURE_OR_FORWARD,"future_data_used,",validate_feature_pipeline,False,True,True,False,False,FEATURE_FUTURE_OPERATION
features\feature_pipeline.py,2407,FUTURE_OR_FORWARD,"""forward_lookup_used"":",validate_feature_pipeline,False,True,True,False,False,FEATURE_FUTURE_OPERATION
features\feature_pipeline.py,2408,FUTURE_OR_FORWARD,"forward_lookup_used,",validate_feature_pipeline,False,True,True,False,False,FEATURE_FUTURE_OPERATION
features\lag_features.py,5,FUTURE_OR_FORWARD,Historical lag feature generation for parking occupancy forecasting.,,False,True,True,False,False,FEATURE_FUTURE_OPERATION
features\lag_features.py,381,FUTURE_OR_FORWARD,No forward filling is performed.,,False,False,True,False,False,FUTURE_OPERATION_REVIEW
