file,line_number,finding_type,matched_text,context
app\ml\data\dataset_audit.py,892,target_reference,"TARGET_ELIGIBLE_COLUMN,","TARGET_2H_AVAILABLE_COLUMN,
            TARGET_TOMORROW_MORNING_AVAILABLE_COLUMN,
            TARGET_ELIGIBLE_COLUMN,
        ]"
app\ml\data\dataset_audit.py,964,target_reference,target_eligible = (,"calendar_days = 0

        target_eligible = (
            dataframe[
                TARGET_ELIGIBLE_COLUMN"
app\ml\data\dataset_audit.py,966,target_reference,TARGET_ELIGIBLE_COLUMN,"target_eligible = (
            dataframe[
                TARGET_ELIGIBLE_COLUMN
            ]
        )"
app\ml\data\dataset_audit.py,970,target_reference,target_eligible_count = int(,")

        target_eligible_count = int(
            target_eligible.sum()
        )"
app\ml\data\dataset_audit.py,971,target_reference,target_eligible.sum(),"target_eligible_count = int(
            target_eligible.sum()
        )"
app\ml\data\dataset_audit.py,974,target_reference,target_eligible_ratio = (,")

        target_eligible_ratio = (
            target_eligible_count / total
            if total"
app\ml\data\dataset_audit.py,975,target_reference,target_eligible_count / total,"target_eligible_ratio = (
            target_eligible_count / total
            if total
            else 0.0"
app\ml\data\dataset_audit.py,1011,target_reference,target_eligible_count=(,"].sum()
            ),
            target_eligible_count=(
                target_eligible_count
            ),"
app\ml\data\dataset_audit.py,1012,target_reference,target_eligible_count,"),
            target_eligible_count=(
                target_eligible_count
            ),
            target_eligible_ratio=("
app\ml\data\dataset_audit.py,1014,target_reference,target_eligible_ratio=(,"target_eligible_count
            ),
            target_eligible_ratio=(
                target_eligible_ratio
            ),"
app\ml\data\dataset_audit.py,1015,target_reference,target_eligible_ratio,"),
            target_eligible_ratio=(
                target_eligible_ratio
            ),
            coverage_start=coverage_start,"
app\ml\data\dataset_audit.py,1081,target_reference,target_30m = int(,")

            target_30m = int(
                facility_df[
                    TARGET_30M_AVAILABLE_COLUMN"
app\ml\data\dataset_audit.py,1083,target_reference,TARGET_30M_AVAILABLE_COLUMN,"target_30m = int(
                facility_df[
                    TARGET_30M_AVAILABLE_COLUMN
                ].sum()
            )"
app\ml\data\dataset_audit.py,1087,target_reference,target_1h = int(,")

            target_1h = int(
                facility_df[
                    TARGET_1H_AVAILABLE_COLUMN"
app\ml\data\dataset_audit.py,1089,target_reference,TARGET_1H_AVAILABLE_COLUMN,"target_1h = int(
                facility_df[
                    TARGET_1H_AVAILABLE_COLUMN
                ].sum()
            )"
app\ml\data\dataset_audit.py,1093,target_reference,target_2h = int(,")

            target_2h = int(
                facility_df[
                    TARGET_2H_AVAILABLE_COLUMN"
