rank,feature,importance,importance_pct,cumulative_importance_pct,categorical
73,available_spaces_lag_2h,0.007654047571122646,0.0027818198908596613,99.85712061567133,False
74,available_spaces_lag_1h,0.007615725044161081,0.002767891787228336,99.85988850745856,False
75,day_of_month,0.007540508639067411,0.002740554814226241,99.86262906227279,False
76,occupancy_rate_roll_std_12h,0.007161988411098719,0.0026029837984373233,99.86523204607123,False
77,occupancy_rate_roll_mean_12h,0.007156548090279102,0.002601006544895581,99.86783305261612,False
78,available_spaces_roll_max_1h,0.006990897934883833,0.002540801941655185,99.87037385455777,False
79,occupied_spaces_roll_min_12h,0.006792193278670311,0.0024685838688087774,99.87284243842657,False
80,calendar_day_of_week_sin,0.006741387769579887,0.0024501188965911744,99.87529255732316,False
81,available_spaces_roll_max_3h,0.006606979761272669,0.0024012690733407277,99.87769382639651,False
82,occupancy_rate_lag_1d,0.00631755730137229,0.0022960801326748787,99.87998990652919,False
83,occupied_spaces_roll_mean_1d,0.00619492819532752,0.0022515112842030308,99.88224141781339,False
84,available_spaces_lag_30m,0.006107768975198269,0.002219833763260761,99.88446125157665,False
85,available_spaces_roll_median_2h,0.0059070466086268425,0.002146882365104384,99.88660813394176,False
86,available_spaces_roll_max_12h,0.005863829515874386,0.0021311753594806552,99.88873930930124,False
87,occupied_spaces_roll_median_3h,0.005855558440089226,0.0021281692842081714,99.89086747858545,False
88,available_spaces_roll_max_6h,0.005699553061276674,0.0020714700199523316,99.8929389486054,False
89,occupancy_rate_roll_trend_6h,0.005534999072551727,0.002011663812229976,99.89495061241763,False
90,occupied_spaces_roll_std_1h,0.00552504463121295,0.0020080459273577834,99.89695865834499,False
91,occupied_spaces_roll_max_1d,0.005446293391287327,0.001979424238817268,99.8989380825838,False
92,occupancy_rate_roll_median_2h,0.0053087561391294,0.0019294371097549146,99.90086751969355,False
93,occupied_spaces_roll_count_1d,0.0052939169108867645,0.0019240438769709803,99.90279156357052,False
94,available_spaces_roll_mean_6h,0.005287289619445801,0.0019216352257336205,99.90471319879624,False
95,day_of_week_cos,0.0051867421716451645,0.0018850918298809135,99.90659829062612,False
96,occupied_spaces_roll_min_3h,0.005159751512110233,0.001875282228769344,99.90847357285489,False
97,occupancy_rate_roll_median_1h,0.005100441165268421,0.0018537262218272367,99.91032729907671,False
98,available_spaces_roll_median_6h,0.0050871227867901325,0.0018488857332072445,99.91217618480992,False
99,available_spaces_roll_mean_1d,0.005071765277534723,0.001843304134148213,99.91401948894408,False
100,hour_cos,0.005041409283876419,0.0018322714215630344,99.91585176036564,False
101,occupied_spaces_roll_trend_3h,0.004908651113510132,0.0017840212224928835,99.91763578158813,False
102,is_tuesday,0.004868219140917063,0.001769326452890139,99.91940510804102,False
103,occupancy_rate_roll_min_2h,0.004387599881738424,0.0015946481271167771,99.92099975616813,False
104,occupancy_rate_roll_count_2h,0.004363256506621838,0.0015858006664130483,99.92258555683455,False
105,occupancy_rate_roll_std_3h,0.004356452729552984,0.0015833278724818323,99.92416888470703,False
106,occupied_spaces_roll_max_1h,0.004346954170614481,0.001579875675465273,99.92574876038249,False
107,occupancy_rate_roll_trend_1d,0.0043316008523106575,0.0015742955995836686,99.92732305598207,False
108,occupancy_rate_roll_count_1d,0.0042687831446528435,0.0015514648623773822,99.92887452084445,False
109,available_spaces_roll_mean_12h,0.004250875674188137,0.0015449564944751961,99.93041947733892,False
110,occupied_spaces_roll_std_12h,0.004202470649033785,0.0015273639644391972,99.93194684130336,False
111,occupied_spaces_roll_max_2h,0.004146162886172533,0.0015068992295023244,99.93345374053285,False
112,available_spaces_lag_1d,0.0041192579083144665,0.0014971207689070329,99.93495086130176,False
113,occupancy_rate_roll_min_6h,0.004005729220807552,0.0014558594155962118,99.93640672071736,False
114,occupied_spaces_lag_30m,0.003953489940613508,0.0014368733474567545,99.93784359406482,False
115,occupancy_rate_roll_std_6h,0.003899764036759734,0.001417346974435673,99.93926094103925,False
116,available_spaces_roll_trend_3h,0.0038843199145048857,0.0014117338963764907,99.94067267493563,False
117,occupancy_rate_roll_mean_6h,0.003859172575175762,0.0014025942394697475,99.94207526917509,False
118,occupancy_rate_roll_min_1d,0.0038410816341638565,0.0013960191902446606,99.94347128836533,False
119,is_weekday,0.0037576365284621716,0.001365691542986285,99.94483697990832,False
120,available_spaces_roll_std_3h,0.0037260763347148895,0.0013542211707538458,99.94619120107907,False
121,available_spaces_roll_min_3h,0.0037160420324653387,0.0013505742608895786,99.94754177533996,False
122,occupied_spaces_roll_median_1h,0.0036799414083361626,0.0013374536951572882,99.94887922903511,False
123,occupied_spaces_roll_max_3h,0.0036657487507909536,0.0013322954548019008,99.95021152448992,False
124,occupancy_rate_roll_mean_1h,0.0036277214530855417,0.0013184746505581872,99.95152999914048,False
125,available_spaces_roll_min_6h,0.0035716018173843622,0.0012980782893635778,99.95282807742984,False
126,occupied_spaces_roll_mean_1h,0.003477066056802869,0.0012637198069084482,99.95409179723676,False
127,is_wednesday,0.0034620058722794056,0.0012582462688257418,99.95535004350558,False
